Wall time,Step,Value
203.669367075,0,205.28611755371094
258.592573881,4,205.28611755371094
313.393672943,8,205.28611755371094
368.221562862,12,205.28611755371094
423.036586523,16,205.28611755371094
477.87688899,20,205.28611755371094
532.654040098,24,205.28611755371094
587.495970726,28,205.28611755371094
697.234676123,36,205.28611755371094
752.107592583,40,205.28611755371094
806.926716328,44,205.28611755371094
861.863469839,48,205.28611755371094
916.755374432,52,205.28611755371094
971.656030893,56,205.28611755371094
1026.564028978,60,205.28611755371094
1081.48042655,64,205.28611755371094
1136.32644105,68,205.28611755371094
1246.147126675,76,205.28611755371094
1458.109092951,80,88.9976577758789
1567.863660574,88,88.9976577758789
1622.761089087,92,88.9976577758789
1678.036452532,96,88.9976577758789
1732.937191963,100,88.9976577758789
1787.835181475,104,88.9976577758789
1897.591243744,112,88.9976577758789
1952.523377657,116,88.9976577758789
2062.36750865,124,88.9976577758789
2117.29474926,128,88.9976577758789
2227.104777813,136,88.9976577758789
2282.036853313,140,88.9976577758789
2336.962566376,144,88.9976577758789
2391.897040129,148,88.9976577758789
2446.722594023,152,88.9976577758789
2501.625363588,156,88.9976577758789
2713.777026415,160,72.41767120361328
2768.715358973,164,72.41767120361328
2823.592176914,168,72.41767120361328
3043.122078896,184,72.41767120361328
3098.015894175,188,72.41767120361328
3207.720743179,196,72.41767120361328
3262.627328634,200,72.41767120361328
3317.540364504,204,72.41767120361328
3372.450703382,208,72.41767120361328
3427.368914843,212,72.41767120361328
3482.225776672,216,72.41767120361328
3537.147799492,220,72.41767120361328
3592.069687128,224,72.41767120361328
3647.002143145,228,72.41767120361328
4023.776076317,244,68.02597045898438
4133.514752388,252,68.02597045898438
4188.414297342,256,68.02597045898438
4298.152575493,264,68.02597045898438
4353.053987741,268,68.02597045898438
4407.936485767,272,68.02597045898438
4462.834246874,276,68.02597045898438
4627.468387365,288,68.02597045898438
4682.357068777,292,68.02597045898438
4737.249874353,296,68.02597045898438
4792.065145969,300,68.02597045898438
4846.961516857,304,68.02597045898438
4901.853301287,308,68.02597045898438
4956.736407042,312,68.02597045898438
5011.620529413,316,68.02597045898438
5223.824398518,320,65.13632202148438
5278.64559412,324,65.13632202148438
5333.508083582,328,65.13632202148438
5388.376211166,332,65.13632202148438
5443.242380142,336,65.13632202148438
5498.112410545,340,65.13632202148438
5552.894225836,344,65.13632202148438
5607.766715765,348,65.13632202148438
5662.619369268,352,65.13632202148438
5717.486667871,356,65.13632202148438
5772.353710413,360,65.13632202148438
5827.156183481,364,65.13632202148438
5882.032697678,368,65.13632202148438
5936.972733259,372,65.13632202148438
5991.88132596,376,65.13632202148438
6046.795214415,380,65.13632202148438
6101.712833166,384,65.13632202148438
6156.556073666,388,65.13632202148438
6211.476831198,392,65.13632202148438
6266.405529499,396,65.13632202148438
6478.501466751,400,61.265296936035156
6533.444850922,404,61.265296936035156
6698.091867447,416,61.265296936035156
6753.001279116,420,61.265296936035156
6807.989011526,424,61.265296936035156
6862.833167791,428,61.265296936035156
6972.618334055,436,61.265296936035156
7027.539112568,440,61.265296936035156
7082.570222378,444,61.265296936035156
7137.451490641,448,61.265296936035156
7192.253697634,452,61.265296936035156
7247.155643702,456,61.265296936035156
7302.045037508,460,61.265296936035156
7357.002053976,464,61.265296936035156
7411.916428328,468,61.265296936035156
7521.639281988,476,61.265296936035156
7733.69585681,480,57.68549728393555
7788.625415564,484,57.68549728393555
7843.488535881,488,57.68549728393555
7898.297940254,492,57.68549728393555
7953.176979542,496,57.68549728393555
8008.069490194,500,57.68549728393555
8062.954813719,504,57.68549728393555
8117.828266144,508,57.68549728393555
8172.69965291,512,57.68549728393555
8227.494525433,516,57.68549728393555
8282.402559757,520,57.68549728393555
8337.284216881,524,57.68549728393555
8392.179163933,528,57.68549728393555
8447.080459833,532,57.68549728393555
8666.668572426,548,57.68549728393555
8721.59973526,552,57.68549728393555
8776.442466736,556,57.68549728393555
9043.2562778,564,57.30445098876953
9098.15445137,568,57.30445098876953
9153.059287071,572,57.30445098876953
9262.79978323,580,57.30445098876953
9317.703696012,584,57.30445098876953
9372.624482632,588,57.30445098876953
9427.573395729,592,57.30445098876953
9482.47096467,596,57.30445098876953
9592.213665724,604,57.30445098876953
9647.114844561,608,57.30445098876953
9702.003207445,612,57.30445098876953
9811.703269005,620,57.30445098876953
9866.589850426,624,57.30445098876953
9921.483312607,628,57.30445098876953
9976.383365393,632,57.30445098876953
10031.278832674,636,57.30445098876953
10243.329809904,640,57.16228485107422
10298.209399462,644,57.16228485107422
10353.087648869,648,57.16228485107422
10407.971404076,652,57.16228485107422
10462.84419775,656,57.16228485107422
10572.536547899,664,57.16228485107422
10627.43826437,668,57.16228485107422
10737.230712652,676,57.16228485107422
10792.130326509,680,57.16228485107422
10846.961733341,684,57.16228485107422
10901.853220701,688,57.16228485107422
10956.733053923,692,57.16228485107422
11011.628014088,696,57.16228485107422
11066.517971754,700,57.16228485107422
11121.420656681,704,57.16228485107422
11176.243975639,708,57.16228485107422
11231.145947218,712,57.16228485107422
11286.035440683,716,57.16228485107422
11497.974956036,720,55.60641860961914
11607.70426774,728,55.60641860961914
11662.587720156,732,55.60641860961914
11717.495463133,736,55.60641860961914
11772.395358324,740,55.60641860961914
11827.290728092,744,55.60641860961914
11882.102509499,748,55.60641860961914
11936.988979578,752,55.60641860961914
11991.876847267,756,55.60641860961914
12101.658445358,764,55.60641860961914
12156.568566084,768,55.60641860961914
12211.411655664,772,55.60641860961914
12266.31753397,776,55.60641860961914
12376.090961218,784,55.60641860961914
12430.979923725,788,55.60641860961914
12485.795226097,792,55.60641860961914
12752.786528826,800,53.4078369140625
12862.599007368,808,53.4078369140625
12917.430766106,812,53.4078369140625
12972.34032774,816,53.4078369140625
13027.255493641,820,53.4078369140625
13082.152487278,824,53.4078369140625
13137.062523842,828,53.4078369140625
13192.082834721,832,53.4078369140625
13301.810202599,840,53.4078369140625
13411.602078915,848,53.4078369140625
13466.495351553,852,53.4078369140625
13521.289871693,856,53.4078369140625
13631.035578012,864,53.4078369140625
13685.913558006,868,53.4078369140625
13740.786975384,872,53.4078369140625
13795.593506098,876,53.4078369140625
14008.80273366,880,53.86310577392578
14063.705272198,884,53.86310577392578
14118.573141575,888,53.86310577392578
14173.44917202,892,53.86310577392578
14228.391546965,896,53.86310577392578
14283.194457769,900,53.86310577392578
14338.064441442,904,53.86310577392578
14447.823722363,912,53.86310577392578
14557.557809591,920,53.86310577392578
14612.51113224,924,53.86310577392578
14722.390766382,932,53.86310577392578
14777.257151127,936,53.86310577392578
14832.055072069,940,53.86310577392578
14886.987420559,944,53.86310577392578
